Type	Subtype	Disease_abbr	Superior	Disease_detailed	
Myeloid	BPDCN	BPDCN	BPDCN	Blastic Plasmacytoid Dendritic Cell Neoplasm	Blastic Plasmacytoid Dendritic Cell Neoplasm
Myeloid	AML	AML	AML	Leukemia	Acute Myeloid Leukemia
Myeloid	AML	AML-M3	APLPMLRARA	Leukemia	APL with PML-RARA
Myeloid	AML	AML	AMLMRC	Leukemia	AML with Myelodysplasia-Related Changes
Myeloid	AML	AML-M5	AMOL	Leukemia	Acute Monoblastic/Monocytic Leukemia
Myeloid	TMDS	TMDS	TMDS	Leukemia	Therapy-Related Myelodysplastic Syndrome
Myeloid	TAML	TAML	TAML	Leukemia	Therapy-Related Acute Myeloid Leukemia
Myeloid	AML	AML-M4	AMML	Leukemia	Acute Myelomonocytic Leukemia
Myeloid	AML	AML	AMLNPM1	Leukemia	AML with Mutated NPM1
Myeloid	AML	AML	AMLRUNX1RUNX1T1	Leukemia	AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1
Myeloid	AML	AML	AMLGATA2MECOM	Leukemia	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM
Myeloid	AML	AML	AMLBCRABL1	Leukemia	AML with BCR-ABL1
Myeloid	AML	AML	AMLCBFBMYH11	Leukemia	AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11
Myeloid	AML	AML	AWM	Leukemia	AML without Maturation
Myeloid	AML	AML	AM	Leukemia	AML with Maturation
Myeloid	AML	AML	AMLMD	Leukemia	AML with Minimal Differentiation
Myeloid	AML	AML	AMLNOS	Leukemia	AML, NOS
Myeloid	AML	AML	AMLRGA	Leukemia	AML with Recurrent Genetic Abnormalities
Myeloid	AML	AML	AMLCEBPA	Leukemia	AML with Biallelic Mutations of CEBPA
Myeloid	AML	AML	PERL	Leukemia	Pure Erythroid Leukemia
Myeloid	AML	AML	AMLDEKNUP214	Leukemia	AML with t(6;9)(p23;q34.1);DEK-NUP214
Myeloid	AML	AML	AMLMLLT3KMT2A	Leukemia	AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A
Myeloid	AML	AML-M7	AMKL	Leukemia	Acute Megakaryoblastic Leukemia
Myeloid	AML	AML	AMLRUNX1	Leukemia	AML with Mutated RUNX1
Myeloid	AML	AML	AMLRARA	Leukemia	AML with Variant RARA translocation
Myeloid	CML	CML	CML	Myeloproliferative Neoplasms	Chronic Myelogenous Leukemia
Myeloid	CML	CML	CMLBCRABL1	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+
Myeloid	CML	CNL	CNL	Myeloproliferative Neoplasms	Chronic Neutrophilic Leukemia
Myeloid	CML	CEL	CELNOS	Myeloproliferative Neoplasms	Chronic Eosinophilic Leukemia, NOS
