cancer	subtype	gene	AYA_mut	AYA_wt	OA_mut	OA_wt	AYA_mut_ratio	OA_mut_ratio	Diff_AYA_OA	Higher_in_AYA	P
Myeloid tumor	AML	CALR	0	240	1	1199	0.000000	0.000833	0.000833	0	fisher.test(matrix(c(0,240,1,1199),nrow=2))$p.value
Myeloid tumor	AML	SETBP1	0	262	2	1362	0.000000	0.001466	0.001466	0	fisher.test(matrix(c(0,262,2,1362),nrow=2))$p.value
Myeloid tumor	AML	NPM1	0	322	0	1746	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,322,0,1746),nrow=2))$p.value
Myeloid tumor	AML	DNMT3A	0	263	2	1366	0.000000	0.001462	0.001462	0	fisher.test(matrix(c(0,263,2,1366),nrow=2))$p.value
Myeloid tumor	AML	ETV6	0	262	2	1341	0.000000	0.001489	0.001489	0	fisher.test(matrix(c(0,262,2,1341),nrow=2))$p.value
Myeloid tumor	AML	GATA2	0	241	0	1200	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,241,0,1200),nrow=2))$p.value
Myeloid tumor	AML	TET2	1	262	3	1364	0.003802	0.002195	0.001608	1	fisher.test(matrix(c(1,262,3,1364),nrow=2))$p.value
Myeloid tumor	AML	BCOR	0	263	0	1366	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,263,0,1366),nrow=2))$p.value
Myeloid tumor	AML	SF3B1	0	263	1	1345	0.000000	0.000743	0.000743	0	fisher.test(matrix(c(0,263,1,1345),nrow=2))$p.value
Myeloid tumor	AML	FLT3	0	322	10	1736	0.000000	0.005727	0.005727	0	fisher.test(matrix(c(0,322,10,1736),nrow=2))$p.value
Myeloid tumor	AML	BCORL1	0	262	1	1363	0.000000	0.000733	0.000733	0	fisher.test(matrix(c(0,262,1,1363),nrow=2))$p.value
Myeloid tumor	AML	BRAF	0	323	0	1746	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,323,0,1746),nrow=2))$p.value
Myeloid tumor	AML	IDH2	0	322	3	1736	0.000000	0.001725	0.001725	0	fisher.test(matrix(c(0,322,3,1736),nrow=2))$p.value
Myeloid tumor	AML	CSF3R	0	257	4	1280	0.000000	0.003115	0.003115	0	fisher.test(matrix(c(0,257,4,1280),nrow=2))$p.value
Myeloid tumor	AML	PTEN	0	322	4	1720	0.000000	0.002320	0.002320	0	fisher.test(matrix(c(0,322,4,1720),nrow=2))$p.value
Myeloid tumor	AML	WT1	0	263	5	1363	0.000000	0.003655	0.003655	0	fisher.test(matrix(c(0,263,5,1363),nrow=2))$p.value
Myeloid tumor	AML	MPL	0	322	5	1740	0.000000	0.002865	0.002865	0	fisher.test(matrix(c(0,322,5,1740),nrow=2))$p.value
Myeloid tumor	AML	IDH1	0	322	1	1723	0.000000	0.000580	0.000580	0	fisher.test(matrix(c(0,322,1,1723),nrow=2))$p.value
Myeloid tumor	AML	ASXL1	0	263	4	1366	0.000000	0.002920	0.002920	0	fisher.test(matrix(c(0,263,4,1366),nrow=2))$p.value
Myeloid tumor	AML	JAK2	1	321	3	1742	0.003106	0.001719	0.001386	1	fisher.test(matrix(c(1,321,3,1742),nrow=2))$p.value
Myeloid tumor	AML	HRAS	0	322	7	1717	0.000000	0.004060	0.004060	0	fisher.test(matrix(c(0,322,7,1717),nrow=2))$p.value
Myeloid tumor	AML	PHF6	0	262	1	1365	0.000000	0.000732	0.000732	0	fisher.test(matrix(c(0,262,1,1365),nrow=2))$p.value
Myeloid tumor	AML	TP53	0	323	1	1747	0.000000	0.000572	0.000572	0	fisher.test(matrix(c(0,323,1,1747),nrow=2))$p.value
Myeloid tumor	AML	FBXW7	1	322	4	1742	0.003096	0.002291	0.000805	1	fisher.test(matrix(c(1,322,4,1742),nrow=2))$p.value
Myeloid tumor	AML	KIT	1	322	4	1742	0.003096	0.002291	0.000805	1	fisher.test(matrix(c(1,322,4,1742),nrow=2))$p.value
Myeloid tumor	AML	ABL1	0	322	1	1744	0.000000	0.000573	0.000573	0	fisher.test(matrix(c(0,322,1,1744),nrow=2))$p.value
Myeloid tumor	AML	CBL	0	262	16	1330	0.000000	0.011887	0.011887	0	fisher.test(matrix(c(0,262,16,1330),nrow=2))$p.value
Myeloid tumor	AML	RUNX1	2	261	11	1356	0.007605	0.008047	0.000442	0	fisher.test(matrix(c(2,261,11,1356),nrow=2))$p.value
Myeloid tumor	AML	ZRSR2	0	262	0	1343	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,262,0,1343),nrow=2))$p.value
Myeloid tumor	AML	CDKN2A	0	323	3	1744	0.000000	0.001717	0.001717	0	fisher.test(matrix(c(0,323,3,1744),nrow=2))$p.value
Myeloid tumor	AML	NRAS	0	323	1	1745	0.000000	0.000573	0.000573	0	fisher.test(matrix(c(0,323,1,1745),nrow=2))$p.value
Myeloid tumor	AML	EZH2	0	321	0	1738	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,321,0,1738),nrow=2))$p.value
Myeloid tumor	AML	U2AF1	2	260	12	1331	0.007634	0.008935	0.001302	0	fisher.test(matrix(c(2,260,12,1331),nrow=2))$p.value
Myeloid tumor	AML	PTPN11	0	323	3	1743	0.000000	0.001718	0.001718	0	fisher.test(matrix(c(0,323,3,1743),nrow=2))$p.value
