cancer	gene	AYA_mut	AYA_wt	OA_mut	OA_wt	AYA_mut_ratio	OA_mut_ratio	Diff_AYA_OA	Higher_in_AYA	P
Myeloid tumor	CALR	0	401	1	2941	0.000000	0.000340	0.000340	0	fisher.test(matrix(c(0,401,1,2941),nrow=2))$p.value
Myeloid tumor	SETBP1	0	433	2	3248	0.000000	0.000615	0.000615	0	fisher.test(matrix(c(0,433,2,3248),nrow=2))$p.value
Myeloid tumor	NPM1	0	511	0	3778	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,511,0,3778),nrow=2))$p.value
Myeloid tumor	DNMT3A	0	437	3	3261	0.000000	0.000919	0.000919	0	fisher.test(matrix(c(0,437,3,3261),nrow=2))$p.value
Myeloid tumor	ETV6	0	435	2	3229	0.000000	0.000619	0.000619	0	fisher.test(matrix(c(0,435,2,3229),nrow=2))$p.value
Myeloid tumor	GATA2	0	402	0	2943	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,402,0,2943),nrow=2))$p.value
Myeloid tumor	TET2	1	436	3	3260	0.002288	0.000919	0.001369	1	fisher.test(matrix(c(1,436,3,3260),nrow=2))$p.value
Myeloid tumor	BCOR	0	436	0	3254	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,436,0,3254),nrow=2))$p.value
Myeloid tumor	SF3B1	0	437	2	3244	0.000000	0.000616	0.000616	0	fisher.test(matrix(c(0,437,2,3244),nrow=2))$p.value
Myeloid tumor	FLT3	1	510	18	3761	0.001957	0.004763	0.002806	0	fisher.test(matrix(c(1,510,18,3761),nrow=2))$p.value
Myeloid tumor	BCORL1	0	433	1	3249	0.000000	0.000308	0.000308	0	fisher.test(matrix(c(0,433,1,3249),nrow=2))$p.value
Myeloid tumor	BRAF	0	512	4	3778	0.000000	0.001058	0.001058	0	fisher.test(matrix(c(0,512,4,3778),nrow=2))$p.value
Myeloid tumor	IDH2	0	511	3	3771	0.000000	0.000795	0.000795	0	fisher.test(matrix(c(0,511,3,3771),nrow=2))$p.value
Myeloid tumor	CSF3R	1	423	6	3083	0.002358	0.001942	0.000416	1	fisher.test(matrix(c(1,423,6,3083),nrow=2))$p.value
Myeloid tumor	PTEN	1	510	4	3756	0.001957	0.001064	0.000893	1	fisher.test(matrix(c(1,510,4,3756),nrow=2))$p.value
Myeloid tumor	WT1	1	436	5	3259	0.002288	0.001532	0.000756	1	fisher.test(matrix(c(1,436,5,3259),nrow=2))$p.value
Myeloid tumor	MPL	0	511	6	3771	0.000000	0.001589	0.001589	0	fisher.test(matrix(c(0,511,6,3771),nrow=2))$p.value
Myeloid tumor	IDH1	0	511	2	3758	0.000000	0.000532	0.000532	0	fisher.test(matrix(c(0,511,2,3758),nrow=2))$p.value
Myeloid tumor	ASXL1	0	437	7	3259	0.000000	0.002143	0.002143	0	fisher.test(matrix(c(0,437,7,3259),nrow=2))$p.value
Myeloid tumor	JAK2	1	510	3	3775	0.001957	0.000794	0.001163	1	fisher.test(matrix(c(1,510,3,3775),nrow=2))$p.value
Myeloid tumor	HRAS	0	511	8	3752	0.000000	0.002128	0.002128	0	fisher.test(matrix(c(0,511,8,3752),nrow=2))$p.value
Myeloid tumor	PHF6	0	434	1	3259	0.000000	0.000307	0.000307	0	fisher.test(matrix(c(0,434,1,3259),nrow=2))$p.value
Myeloid tumor	TP53	0	512	1	3783	0.000000	0.000264	0.000264	0	fisher.test(matrix(c(0,512,1,3783),nrow=2))$p.value
Myeloid tumor	FBXW7	1	511	4	3778	0.001953	0.001058	0.000895	1	fisher.test(matrix(c(1,511,4,3778),nrow=2))$p.value
Myeloid tumor	KIT	2	510	6	3776	0.003906	0.001586	0.002320	1	fisher.test(matrix(c(2,510,6,3776),nrow=2))$p.value
Myeloid tumor	ABL1	0	511	1	3776	0.000000	0.000265	0.000265	0	fisher.test(matrix(c(0,511,1,3776),nrow=2))$p.value
Myeloid tumor	CBL	0	436	18	3225	0.000000	0.005550	0.005550	0	fisher.test(matrix(c(0,436,18,3225),nrow=2))$p.value
Myeloid tumor	RUNX1	5	432	13	3250	0.011442	0.003984	0.007458	1	fisher.test(matrix(c(5,432,13,3250),nrow=2))$p.value
Myeloid tumor	ZRSR2	0	435	0	3231	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,435,0,3231),nrow=2))$p.value
Myeloid tumor	CDKN2A	0	512	4	3779	0.000000	0.001057	0.001057	0	fisher.test(matrix(c(0,512,4,3779),nrow=2))$p.value
Myeloid tumor	NRAS	0	512	1	3781	0.000000	0.000264	0.000264	0	fisher.test(matrix(c(0,512,1,3781),nrow=2))$p.value
Myeloid tumor	EZH2	0	510	4	3766	0.000000	0.001061	0.001061	0	fisher.test(matrix(c(0,510,4,3766),nrow=2))$p.value
Myeloid tumor	U2AF1	4	431	15	3217	0.009195	0.004641	0.004554	1	fisher.test(matrix(c(4,431,15,3217),nrow=2))$p.value
Myeloid tumor	PTPN11	0	512	3	3779	0.000000	0.000793	0.000793	0	fisher.test(matrix(c(0,512,3,3779),nrow=2))$p.value
Myeloid tumor	SRSF2	1	435	6	3247	0.002294	0.001844	0.000449	1	fisher.test(matrix(c(1,435,6,3247),nrow=2))$p.value
Myeloid tumor	KRAS	0	512	3	3780	0.000000	0.000793	0.000793	0	fisher.test(matrix(c(0,512,3,3780),nrow=2))$p.value
Myeloid tumor	MYD88	0	436	0	3243	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,436,0,3243),nrow=2))$p.value
Myeloid tumor	LTB	1	14	0	76	0.066667	0.000000	0.066667	1	fisher.test(matrix(c(1,14,0,76),nrow=2))$p.value
Myeloid tumor	RAD51B	0	24	0	130	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,24,0,130),nrow=2))$p.value
Myeloid tumor	PPP2R1A	0	134	2	714	0.000000	0.002793	0.002793	0	fisher.test(matrix(c(0,134,2,714),nrow=2))$p.value
Myeloid tumor	HIST1H3B	0	135	0	720	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,135,0,720),nrow=2))$p.value
Myeloid tumor	IL7R	1	156	1	736	0.006369	0.001357	0.005013	1	fisher.test(matrix(c(1,156,1,736),nrow=2))$p.value
Myeloid tumor	HIST1H1C	0	77	0	566	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,77,0,566),nrow=2))$p.value
Myeloid tumor	DAXX	1	114	0	709	0.008696	0.000000	0.008696	1	fisher.test(matrix(c(1,114,0,709),nrow=2))$p.value
Myeloid tumor	FAS	0	128	4	999	0.000000	0.003988	0.003988	0	fisher.test(matrix(c(0,128,4,999),nrow=2))$p.value
Myeloid tumor	GNA11	0	244	4	1551	0.000000	0.002572	0.002572	0	fisher.test(matrix(c(0,244,4,1551),nrow=2))$p.value
Myeloid tumor	ARHGEF28	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
Myeloid tumor	CYLD	0	166	0	1025	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,166,0,1025),nrow=2))$p.value
Myeloid tumor	AKT1	0	244	3	1552	0.000000	0.001929	0.001929	0	fisher.test(matrix(c(0,244,3,1552),nrow=2))$p.value
Myeloid tumor	PARP1	0	77	0	566	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,77,0,566),nrow=2))$p.value
Myeloid tumor	HIF1A	0	107	0	533	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,107,0,533),nrow=2))$p.value
Myeloid tumor	NFE2L2	0	169	2	1047	0.000000	0.001907	0.001907	0	fisher.test(matrix(c(0,169,2,1047),nrow=2))$p.value
Myeloid tumor	DDR2	2	168	7	1046	0.011765	0.006648	0.005117	1	fisher.test(matrix(c(2,168,7,1046),nrow=2))$p.value
Myeloid tumor	ARID5B	0	60	0	149	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,60,0,149),nrow=2))$p.value
Myeloid tumor	STAG2	0	281	1	1985	0.000000	0.000504	0.000504	0	fisher.test(matrix(c(0,281,1,1985),nrow=2))$p.value
Myeloid tumor	PRDM1	0	168	0	1026	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,168,0,1026),nrow=2))$p.value
Myeloid tumor	GRIN2A	0	116	0	608	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,116,0,608),nrow=2))$p.value
Myeloid tumor	GSK3B	0	114	0	586	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,114,0,586),nrow=2))$p.value
Myeloid tumor	ATXN2	0	15	0	76	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,15,0,76),nrow=2))$p.value
