cancer	subtype	gene	AYA_mut	AYA_wt	OA_mut	OA_wt	AYA_mut_ratio	OA_mut_ratio	Diff_AYA_OA	Higher_in_AYA	P
Lymphoid tumor	MTNN	ETV6-RUNX1	0	7	0	16	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,7,0,16),nrow=2))$p.value
Lymphoid tumor	MTNN	ETV5-intergenic	0	0	1	1	NA	0.500000	NA	NA	fisher.test(matrix(c(0,0,1,1),nrow=2))$p.value
Lymphoid tumor	MTNN	ABL1-BCR	0	1	0	17	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,1,0,17),nrow=2))$p.value
Lymphoid tumor	MTNN	IGHA2-ZFP36L1	0	0	0	2	NA	0.000000	NA	NA	fisher.test(matrix(c(0,0,0,2),nrow=2))$p.value
Lymphoid tumor	MTNN	IKZF1-TOX	0	0	0	2	NA	0.000000	NA	NA	fisher.test(matrix(c(0,0,0,2),nrow=2))$p.value
Lymphoid tumor	MTNN	MLLT10-PICALM	0	0	0	2	NA	0.000000	NA	NA	fisher.test(matrix(c(0,0,0,2),nrow=2))$p.value
Lymphoid tumor	MTNN	NOTCH1-intragenic	0	2	0	7	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,2,0,7),nrow=2))$p.value
Lymphoid tumor	MTNN	PCM1-TOX	0	0	0	2	NA	0.000000	NA	NA	fisher.test(matrix(c(0,0,0,2),nrow=2))$p.value
Lymphoid tumor	MTNN	PDCD11-intragenic	0	0	1	1	NA	0.500000	NA	NA	fisher.test(matrix(c(0,0,1,1),nrow=2))$p.value
Lymphoid tumor	MTNN	DNMT1-PDE4A	0	1	0	3	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,1,0,3),nrow=2))$p.value
Lymphoid tumor	MTNN	LOC729991-MEF2B-MYC	0	1	0	3	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,1,0,3),nrow=2))$p.value
Lymphoid tumor	MTNN	BCL2L11-CD274	0	1	0	3	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,1,0,3),nrow=2))$p.value
