cancer	gene	AYA_mut	AYA_wt	OA_mut	OA_wt	AYA_mut_ratio	OA_mut_ratio	Diff_AYA_OA	Higher_in_AYA	P
Lymphoid tumor	ETV6-RUNX1	8	231	0	483	0.033473	0.000000	0.033473	1	fisher.test(matrix(c(8,231,0,483),nrow=2))$p.value
Lymphoid tumor	ETV5-intergenic	0	6	1	5	0.000000	0.166667	0.166667	0	fisher.test(matrix(c(0,6,1,5),nrow=2))$p.value
Lymphoid tumor	ABL1-BCR	1	130	3	429	0.007634	0.006944	0.000689	1	fisher.test(matrix(c(1,130,3,429),nrow=2))$p.value
Lymphoid tumor	IGHA2-ZFP36L1	0	6	1	5	0.000000	0.166667	0.166667	0	fisher.test(matrix(c(0,6,1,5),nrow=2))$p.value
Lymphoid tumor	IKZF1-TOX	1	5	0	6	0.166667	0.000000	0.166667	1	fisher.test(matrix(c(1,5,0,6),nrow=2))$p.value
Lymphoid tumor	MLLT10-PICALM	0	6	1	5	0.000000	0.166667	0.166667	0	fisher.test(matrix(c(0,6,1,5),nrow=2))$p.value
Lymphoid tumor	NOTCH1-intragenic	3	103	1	293	0.028302	0.003401	0.024901	1	fisher.test(matrix(c(3,103,1,293),nrow=2))$p.value
Lymphoid tumor	PCM1-TOX	1	5	0	6	0.166667	0.000000	0.166667	1	fisher.test(matrix(c(1,5,0,6),nrow=2))$p.value
Lymphoid tumor	PDCD11-intragenic	0	6	1	5	0.000000	0.166667	0.166667	0	fisher.test(matrix(c(0,6,1,5),nrow=2))$p.value
Lymphoid tumor	BCR-intragenic	0	5	1	72	0.000000	0.013699	0.013699	0	fisher.test(matrix(c(0,5,1,72),nrow=2))$p.value
Lymphoid tumor	KMT2A-MLLT3	1	211	0	641	0.004717	0.000000	0.004717	1	fisher.test(matrix(c(1,211,0,641),nrow=2))$p.value
Lymphoid tumor	ATM-intragenic	0	5	1	72	0.000000	0.013699	0.013699	0	fisher.test(matrix(c(0,5,1,72),nrow=2))$p.value
Lymphoid tumor	CDNF-KMT2D	0	5	1	72	0.000000	0.013699	0.013699	0	fisher.test(matrix(c(0,5,1,72),nrow=2))$p.value
Lymphoid tumor	GATA2-intragenic	0	5	0	73	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,5,0,73),nrow=2))$p.value
Lymphoid tumor	BRD3-VAV2	0	5	1	72	0.000000	0.013699	0.013699	0	fisher.test(matrix(c(0,5,1,72),nrow=2))$p.value
Lymphoid tumor	EP300-intragenic	1	89	1	365	0.011111	0.002732	0.008379	1	fisher.test(matrix(c(1,89,1,365),nrow=2))$p.value
Lymphoid tumor	KDM3B-MAP3K14	0	5	1	72	0.000000	0.013699	0.013699	0	fisher.test(matrix(c(0,5,1,72),nrow=2))$p.value
Lymphoid tumor	TNFAIP3-intragenic	1	88	4	570	0.011236	0.006969	0.004267	1	fisher.test(matrix(c(1,88,4,570),nrow=2))$p.value
Lymphoid tumor	BIRC3-MALT1	0	37	2	280	0.000000	0.007092	0.007092	0	fisher.test(matrix(c(0,37,2,280),nrow=2))$p.value
Lymphoid tumor	DNMT1-PDE4A	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	LOC729991-MEF2B-MYC	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	BCL2L11-CD274	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	CD274-PDCD1LG2	1	25	0	178	0.038462	0.000000	0.038462	1	fisher.test(matrix(c(1,25,0,178),nrow=2))$p.value
Lymphoid tumor	ARID1A-FAF1	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	BCL6-EIF4A2	0	58	3	384	0.000000	0.007752	0.007752	0	fisher.test(matrix(c(0,58,3,384),nrow=2))$p.value
Lymphoid tumor	MYC-TMEM121	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	APC-NCRNA00202	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	TCF3-ZBTB7A	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	FANCA-PAX5	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	MYD88-VILL	1	25	0	178	0.038462	0.000000	0.038462	1	fisher.test(matrix(c(1,25,0,178),nrow=2))$p.value
Lymphoid tumor	PUS10-REL	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	CREBBP-intragenic	0	111	2	469	0.000000	0.004246	0.004246	0	fisher.test(matrix(c(0,111,2,469),nrow=2))$p.value
Lymphoid tumor	KMT2C-intragenic	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	MSH6-intragenic	0	143	3	677	0.000000	0.004412	0.004412	0	fisher.test(matrix(c(0,143,3,677),nrow=2))$p.value
Lymphoid tumor	CRLF2-DHRSX	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	CD274-LPIN1	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	REL-intragenic	1	57	2	385	0.017241	0.005168	0.012073	1	fisher.test(matrix(c(1,57,2,385),nrow=2))$p.value
Lymphoid tumor	CD79B-TTLL7	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	RPS6KA4-SYPL1	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	SMARCA4-intragenic	0	26	1	177	0.000000	0.005618	0.005618	0	fisher.test(matrix(c(0,26,1,177),nrow=2))$p.value
Lymphoid tumor	FLT3-intragenic	2	195	1	843	0.010152	0.001185	0.008967	1	fisher.test(matrix(c(2,195,1,843),nrow=2))$p.value
Lymphoid tumor	FANCD2-intergenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
Lymphoid tumor	SMC3-intragenic	0	85	0	293	0.000000	0.000000	0.000000	0	fisher.test(matrix(c(0,85,0,293),nrow=2))$p.value
