Type	Disease	AYA_Metastasis/Primary_ratio	OA_Metastasis/Primary_ratio	Total	AYA_Metastasis	AYA_Primary	OA_Metastasis	OA_Primary	AYA_Primary/Metastasis_ratio	OA_Primary/Metastasis_tatio
Myeloid tumor	AML	0.021671826625386997	0.002858776443682104	2072	7	60	5	332	0.18575851393188855	0.18982275586049172
Myeloid tumor	MPN	0.0	0.001447178002894356	781	0	11	1	101	0.12222222222222222	0.14616497829232997
Myeloid tumor	MDS	0.023255813953488372	0.005827505827505828	901	1	7	5	96	0.16279069767441862	0.11188811188811189
Lymphoid tumor	MTNN	0.06666666666666667	0.03076923076923077	80	1	5	2	25	0.3333333333333333	0.38461538461538464
Myeloid tumor	CML	0.0	0.0	95	0	8	0	13	0.42105263157894735	0.17105263157894737
Lymphoid tumor	BLL	0.09302325581395349	0.038461538461538464	388	24	74	5	51	0.2868217054263566	0.3923076923076923
Myeloid tumor	MDS/MPN	0.0	0.0	74	0	2	0	10	0.5	0.14285714285714285
Myeloid tumor	CMML	0.0	0.0	168	0	1	0	17	0.1111111111111111	0.1069182389937107
Lymphoid tumor	MYCF	0.0	0.037037037037037035	94	0	9	3	63	0.6923076923076923	0.7777777777777778
Lymphoid tumor	MBN	0.037037037037037035	0.07211538461538461	262	2	27	15	75	0.5	0.3605769230769231
Myeloid tumor	TMDS	0.14285714285714285	0.02564102564102564	85	1	0	2	10	0.0	0.1282051282051282
Lymphoid tumor	FL	0.0	0.046357615894039736	169	0	13	7	92	0.7222222222222222	0.609271523178808
Myeloid tumor	Mastocytosis	0.0	0.0	23	0	2	0	3	0.25	0.2
Lymphoid tumor	DLBCL	0.058823529411764705	0.10899182561307902	418	3	31	40	158	0.6078431372549019	0.4305177111716621
Lymphoid tumor	CLL/SLL	0.0	0.019543973941368076	315	0	5	6	152	0.625	0.495114006514658
Lymphoid tumor	MCL	NA	NA	73	0	0	5	38	NA	NA
Lymphoid tumor	PTCL	0.0	0.02127659574468085	56	0	3	1	28	0.3333333333333333	0.5957446808510638
Lymphoid tumor	NHL	0.0	0.1	43	0	2	4	21	0.6666666666666666	0.525
Lymphoid tumor	AITL	NA	NA	45	0	0	1	29	NA	NA
Lymphoid tumor	TLL	0.037037037037037035	0.0	75	2	13	0	3	0.24074074074074073	0.14285714285714285
PC	PC	0.0	0.03686635944700461	224	0	3	8	85	0.42857142857142855	0.391705069124424
Lymphoid tumor	MZL	0.0	0.04	26	0	1	1	14	1.0	0.56
Lymphoid tumor	HL	0.0	0.09090909090909091	43	0	14	2	10	0.6666666666666666	0.45454545454545453
Lymphoid tumor	HCL	0.0	0.0	24	0	1	0	3	0.3333333333333333	0.14285714285714285
Myeloid tumor	TAML	0.125	0.029411764705882353	76	1	3	2	16	0.375	0.23529411764705882
MPAL	MPAL	0.0	0.0	30	0	2	0	7	0.25	0.3181818181818182
Myeloid tumor	BPDCN	0.0	0.09523809523809523	22	0	1	2	5	1.0	0.23809523809523808
Lymphoid tumor	BCL	0.0	0.1	11	0	0	1	2	0.0	0.2
