Type	Disease	AYA_White_Non-Spanish/non-Hispanic	OA_White_Non-Spanish/non-Hispanic	AYA_Black_Non-Spanish/non-Hispanic	OA_Black_Non-Spanish/non-Hispanic	AYA_Asian_Non-Spanish/non-Hispanic	OA_Asian_Non-Spanish/non-Hispanic	AYA_Spanish/Hispanic	OA_Spanish/Hispanic	AYA_Native American_Non-Spanish/non-Hispanic	OA_Native American_Non-Spanish/non-Hispanic
Myeloid tumor	AML	150	910	38	95	20	31	12	17	0	1	
Myeloid tumor	MPN	54	345	4	30	5	11	3	1	0	0	
Myeloid tumor	MDS	19	578	5	45	0	17	0	7	1	1	
Lymphoid tumor	MTNN	9	46	1	4	0	3	1	0	0	0	
Myeloid tumor	CML	13	53	3	8	0	1	0	0	0	0	
Lymphoid tumor	BLL	133	52	11	8	21	2	5	6	1	1	
Myeloid tumor	MDS/MPN	1	43	0	2	0	0	0	1	0	0	
Myeloid tumor	CMML	6	88	1	12	0	5	0	0	0	0	
Lymphoid tumor	MYCF	9	70	1	5	3	2	0	1	0	0	
Lymphoid tumor	MBN	34	159	3	6	7	12	2	5	0	0	
Myeloid tumor	TMDS	3	41	2	4	2	1	0	0	0	0	
Lymphoid tumor	FL	12	122	2	2	0	4	1	2	0	0	
Myeloid tumor	Mastocytosis	4	9	0	0	0	0	0	0	0	0	
Lymphoid tumor	DLBCL	38	304	0	9	7	16	1	10	0	1	
Lymphoid tumor	CLL/SLL	8	271	0	5	0	5	0	5	0	1	
Lymphoid tumor	MCL	0	58	0	1	0	1	0	6	0	0	
Lymphoid tumor	PTCL	7	35	1	4	1	2	0	1	0	0	
Lymphoid tumor	NHL	1	33	0	0	0	0	1	1	0	0	
Lymphoid tumor	AITL	0	33	0	2	0	1	0	2	0	0	
Lymphoid tumor	TLL	29	12	7	1	5	1	1	0	0	0	
PC	PC	5	177	1	19	1	3	0	4	0	0	
Lymphoid tumor	MZL	1	22	0	0	0	2	0	0	0	0	
Lymphoid tumor	HCL	3	17	0	0	0	0	0	0	0	0	
Lymphoid tumor	HL	15	14	0	3	3	2	0	0	0	0	
Myeloid tumor	TAML	2	25	1	6	1	0	1	0	0	0	
MPAL	MPAL	2	10	0	1	2	0	0	0	0	0	
Myeloid tumor	BPDCN	1	16	0	0	0	0	0	0	0	0	
Lymphoid tumor	BCL	0	5	0	0	1	0	0	1	0	0	
