Type	Disease	AYA_Female_ratio	OA_Female_ratio	Total	AYA_Female	AYA_Male	OA_Female	OA_Male
Myeloid tumor	AML	0.5046439628482973	0.4128073184676958	2072	163	160	722	1027
Myeloid tumor	MPN	0.5168539325842697	0.4732272069464544	780	46	43	327	364
Myeloid tumor	MDS	0.4418604651162791	0.3368298368298368	901	19	24	289	569
Lymphoid tumor	MTNN	0.4	0.3230769230769231	80	6	9	21	44
Myeloid tumor	CML	0.47368421052631576	0.4605263157894737	95	9	10	35	41
Lymphoid tumor	BLL	0.43023255813953487	0.45384615384615384	388	111	147	59	71
Myeloid tumor	MDS/MPN	0.5	0.5285714285714286	74	2	2	37	33
Myeloid tumor	CMML	0.1111111111111111	0.31446540880503143	168	1	8	50	109
Lymphoid tumor	MYCF	0.6923076923076923	0.37037037037037035	94	9	4	30	51
Lymphoid tumor	MBN	0.37037037037037035	0.44711538461538464	262	20	34	93	115
Myeloid tumor	TMDS	0.42857142857142855	0.46153846153846156	85	3	4	36	42
Lymphoid tumor	FL	0.3888888888888889	0.4370860927152318	169	7	11	66	85
Myeloid tumor	Mastocytosis	0.75	0.5333333333333333	23	6	2	8	7
Lymphoid tumor	DLBCL	0.39215686274509803	0.4332425068119891	418	20	31	159	208
Lymphoid tumor	CLL/SLL	0.25	0.39087947882736157	315	2	6	120	187
Lymphoid tumor	MCL	NA	0.2328767123287671	73	0	0	17	56
Lymphoid tumor	PTCL	0.5555555555555556	0.48936170212765956	56	5	4	23	24
Lymphoid tumor	NHL	0.0	0.575	43	0	3	23	17
Lymphoid tumor	AITL	NA	0.4666666666666667	45	0	0	21	24
Lymphoid tumor	TLL	0.35185185185185186	0.23809523809523808	75	19	35	5	16
PC	PC	0.14285714285714285	0.4470046082949309	224	1	6	97	120
Lymphoid tumor	MZL	0.0	0.48	26	0	1	12	13
Lymphoid tumor	HL	0.3333333333333333	0.2727272727272727	43	7	14	6	16
Lymphoid tumor	HCL	0.6666666666666666	0.14285714285714285	24	2	1	3	18
Myeloid tumor	TAML	0.75	0.5	76	6	2	34	34
MPAL	MPAL	0.625	0.45454545454545453	30	5	3	10	12
Myeloid tumor	BPDCN	1.0	0.09523809523809523	22	1	0	2	19
Lymphoid tumor	BCL	0.0	0.6	11	0	1	6	4
