Group	Degree
Myeloid_AYA	171
Myeloid_AYA	27
Myeloid_AYA	79
Myeloid_AYA	204
Myeloid_AYA	46
Myeloid_AYA	40
Myeloid_AYA	4
Myeloid_AYA	361
Myeloid_AYA	32
Myeloid_AYA	145
Myeloid_AYA	61
Myeloid_AYA	8
Myeloid_AYA	22
Myeloid_AYA	18
Myeloid_AYA	4
Myeloid_AYA	4
Myeloid_AYA	12
Myeloid_AYA	8
Myeloid_AYA	21
Myeloid_AYA	21
Myeloid_AYA	31
Myeloid_AYA	48
Myeloid_AYA	6
Myeloid_AYA	26
Myeloid_AYA	12
Myeloid_AYA	141
Myeloid_AYA	21
Myeloid_AYA	69
Myeloid_AYA	41
Myeloid_AYA	329
Myeloid_AYA	76
Myeloid_AYA	25
Myeloid_AYA	378
Myeloid_AYA	73
Myeloid_AYA	15
Myeloid_AYA	120
Myeloid_AYA	303
Myeloid_AYA	8
Myeloid_AYA	10
Myeloid_AYA	500
Myeloid_AYA	11
Myeloid_AYA	104
Myeloid_AYA	64
Myeloid_AYA	344
Myeloid_AYA	16
Myeloid_AYA	1
Myeloid_AYA	11
Myeloid_AYA	11
Myeloid_AYA	166
Myeloid_AYA	30
Myeloid_AYA	36
Myeloid_AYA	27
Myeloid_AYA	17
Myeloid_AYA	18
Myeloid_AYA	6
Myeloid_OA	29
Myeloid_OA	49
Myeloid_OA	60
Myeloid_OA	46
Myeloid_OA	25
Myeloid_OA	8
Myeloid_OA	24
Myeloid_OA	34
Myeloid_OA	13
Myeloid_OA	132
Myeloid_OA	52
Myeloid_OA	8
Myeloid_OA	27
Myeloid_OA	7
Myeloid_OA	5
Myeloid_OA	14
Myeloid_OA	56
Myeloid_OA	7
Myeloid_OA	50
Myeloid_OA	24
Myeloid_OA	36
Myeloid_OA	17
Myeloid_OA	12
Myeloid_OA	27
Myeloid_OA	23
Myeloid_OA	163
Myeloid_OA	65
Myeloid_OA	13
Myeloid_OA	29
Myeloid_OA	6
Myeloid_OA	64
Myeloid_OA	61
Myeloid_OA	4
Myeloid_OA	18
Myeloid_OA	7
Myeloid_OA	48
Myeloid_OA	13
Myeloid_OA	5
Myeloid_OA	786
Myeloid_OA	8
Myeloid_OA	109
Myeloid_OA	57
Myeloid_OA	18
Myeloid_OA	69
Myeloid_OA	13
Myeloid_OA	11
Myeloid_OA	11
Myeloid_OA	13
Myeloid_OA	5
Myeloid_OA	25
Myeloid_OA	6
Myeloid_OA	33
Myeloid_OA	22
Myeloid_OA	18
Myeloid_OA	37
Myeloid_OA	86
Myeloid_OA	1
Myeloid_OA	342
Myeloid_OA	22
Myeloid_OA	37
Myeloid_OA	102
Myeloid_OA	207
Myeloid_OA	35
Myeloid_OA	56
Myeloid_OA	14
Myeloid_OA	40
Myeloid_OA	8
Myeloid_OA	6
Myeloid_OA	14
Myeloid_OA	2
Myeloid_OA	8
Myeloid_OA	6
Myeloid_OA	4
Myeloid_OA	18
Myeloid_OA	12
Myeloid_OA	286
Myeloid_OA	1
Myeloid_OA	15
Myeloid_OA	69
Myeloid_OA	7
Myeloid_OA	3
Myeloid_OA	14
Myeloid_OA	22
Myeloid_OA	61
Myeloid_OA	55
Myeloid_OA	7
Myeloid_OA	2
Myeloid_OA	16
Myeloid_OA	12
Myeloid_OA	3
Myeloid_OA	46
Myeloid_OA	16
Myeloid_OA	69
Myeloid_OA	35
Myeloid_OA	9
Myeloid_OA	9
Myeloid_OA	7
Myeloid_OA	14
Myeloid_OA	19
Myeloid_OA	9
Myeloid_OA	20
Myeloid_OA	129
Myeloid_OA	16
Myeloid_OA	20
Myeloid_OA	13
Myeloid_OA	15
Myeloid_OA	7
Myeloid_OA	8
Myeloid_OA	166
Myeloid_OA	44
Myeloid_OA	637
Myeloid_OA	9
Myeloid_OA	7
Myeloid_OA	7
Myeloid_OA	11
Myeloid_OA	23
Myeloid_OA	1
Myeloid_OA	19
Myeloid_OA	16
Myeloid_OA	14
Myeloid_OA	4
Myeloid_OA	12
Myeloid_OA	4
Myeloid_OA	6
Myeloid_OA	41
Myeloid_OA	2
Myeloid_OA	42
Myeloid_OA	1
Myeloid_OA	19
Myeloid_OA	44
Myeloid_OA	87
Myeloid_OA	165
Myeloid_OA	15
Myeloid_OA	142
Myeloid_OA	39
Myeloid_OA	12
Myeloid_OA	122
Myeloid_OA	202
Myeloid_OA	4
Myeloid_OA	27
Myeloid_OA	440
Myeloid_OA	17
Myeloid_OA	6
Myeloid_OA	5
Myeloid_OA	89
Myeloid_OA	43
Myeloid_OA	40
Myeloid_OA	11
Myeloid_OA	66
Myeloid_OA	49
Myeloid_OA	5
Myeloid_OA	21
Myeloid_OA	212
Myeloid_OA	35
Myeloid_OA	29
Myeloid_OA	20
Myeloid_OA	22
Myeloid_OA	10
Myeloid_OA	107
Myeloid_OA	77
Myeloid_OA	9
Myeloid_OA	65
Myeloid_OA	9
Myeloid_OA	16
Myeloid_OA	238
Myeloid_OA	122
Myeloid_OA	35
Myeloid_OA	22
Myeloid_OA	4
Myeloid_OA	221
Myeloid_OA	198
Myeloid_OA	47
Myeloid_OA	72
Myeloid_OA	303
Myeloid_OA	24
Myeloid_OA	35
Myeloid_OA	97
Myeloid_OA	145
Myeloid_OA	3
Myeloid_OA	460
Myeloid_OA	22
Myeloid_OA	135
Myeloid_OA	317
Myeloid_OA	69
Myeloid_OA	7
Myeloid_OA	6
Myeloid_OA	22
Myeloid_OA	29
Myeloid_OA	4
Myeloid_OA	197
Myeloid_OA	78
Myeloid_OA	18
Myeloid_OA	82
Myeloid_OA	76
Myeloid_OA	214
Myeloid_OA	57
Myeloid_OA	23
Myeloid_OA	18
Myeloid_OA	24
Myeloid_OA	9
Myeloid_OA	16
Myeloid_OA	1
Myeloid_OA	15
Myeloid_OA	7
Myeloid_OA	4
Myeloid_OA	5
Myeloid_OA	18
Myeloid_OA	2
Myeloid_OA	224
Myeloid_OA	10
Myeloid_OA	12
Myeloid_OA	1
Myeloid_OA	18
Myeloid_OA	5
Myeloid_OA	34
Myeloid_OA	34
Myeloid_OA	70
Myeloid_OA	121
Myeloid_OA	8
Myeloid_OA	18
Myeloid_OA	7
Myeloid_OA	2
Myeloid_OA	5
Myeloid_OA	3
Myeloid_OA	43
Myeloid_OA	7
Myeloid_OA	26
Myeloid_OA	50
Myeloid_OA	159
Myeloid_OA	32
Myeloid_OA	30
Myeloid_OA	28
Myeloid_OA	34
Myeloid_OA	33
Myeloid_OA	2
Myeloid_OA	17
Myeloid_OA	9
Myeloid_OA	8
Myeloid_OA	3
Myeloid_OA	33
