Uniprot Degree Betweenness Closeness Transitivity Pagerank Eccentricity Eigenvector
VIPAS39 3 4.33974242487925e-06 0.220173459314624 0.333333333333333 3.97930479574245e-05 9 0.000213800601059054
RBCK1 26 0.000176504743554888 0.317367551772329 0.0492307692307692 0.000120119093957536 8 0.0707340184514335
PEX19 19 0.00115295109167401 0.277783955696906 0.00584795321637427 0.000181136383238701 8 0.00530496688638819
MTOR 18 0.000347275372230079 0.288359421895923 0.0588235294117647 0.000129128797712752 8 0.00946543751096186
LSM2 29 0.000335328760910782 0.315595310289064 0.0960591133004926 0.000151752562165542 8 0.0593290773447507
HRAS 120 0.00163712945478219 0.328036769533815 0.00728291316526611 0.000575607083571653 7 0.117048305805029
GRAP2 18 0.000148024327921863 0.298610945083319 0.0130718954248366 9.65802096482002e-05 9 0.0281900682826482
EP300 29 0.000320957526361082 0.297898728742815 0.0517241379310345 0.000172504774882942 8 0.0108113109477185
EGFR 269 0.0209276853194833 0.356500642214928 0.0126505021361594 0.00184171544169877 8 0.0974067664905553
CDKN1A 57 0.00170230403972067 0.338070104208959 0.050125313283208 0.000290576513836357 8 0.127360261702547
CDK2 40 0.000577833551013285 0.304619286864055 0.0858974358974359 0.000225014985929421 8 0.0277495270038215
CCNT1 8 7.13065978490502e-06 0.246428853287033 0.178571428571429 6.1554932024485e-05 9 0.000855890437301212
CCNA2 22 0.000125317376054331 0.287516401556134 0.199134199134199 0.000129055283927322 8 0.00862216840150941
CASC3 7 2.42173969608043e-05 0.266078694531433 0.380952380952381 5.01240056675288e-05 8 0.00675788629778761
BRCA1 34 0.00115099078367517 0.313496147185061 0.035650623885918 0.000224379341164831 8 0.0205684579987613
ATG14 6 3.53774156888851e-06 0.267131491145521 0.4 4.09051517069825e-05 8 0.00526331981611076
WAS 13 8.26164287704871e-05 0.286974703030582 0.0512820512820513 8.14247147182875e-05 8 0.0106492260351198
VPS26A 6 7.46894744287952e-06 0.271911873557713 0.0666666666666667 4.21817681316661e-05 8 0.00419557333881183
TP53 171 0.0101413409913887 0.351336146272855 0.0132094943240454 0.00103010160204414 7 0.0794723380863147
TERF2 35 0.00155965888863678 0.313598473435774 0.0403361344537815 0.000234959116140888 8 0.0257799181621102
S100A1 16 0.000237862583430777 0.299004117590731 0.191666666666667 0.000100394779903199 8 0.0119527839032817
RUVBL1 35 0.000460381058762017 0.301982591876209 0.127731092436975 0.000198593611461815 8 0.0200182303513466
PDCD10 18 7.39900327310186e-05 0.268313641245972 0.189542483660131 0.000111690384352523 8 0.00293923217829788
PABPC1 23 0.000737969313346534 0.292670353360202 0.0632411067193676 0.000168357618765881 8 0.0066701689739133
MDM2 51 0.00122691945964001 0.309074261958378 0.0180392156862745 0.000316197800604304 7 0.014102254898812
MDC1 9 9.08794703719038e-05 0.270042376545879 0.25 7.21949250511355e-05 8 0.00265347234216648
MAP1LC3B 55 0.00141053702975914 0.316980940537523 0.0188552188552189 0.000325837153838464 8 0.0308373073412295
KEAP1 63 0.00288189129819738 0.326501803732943 0.0128008192524322 0.000415500517597301 8 0.0576775045806396
ILK 52 0.00173012818209195 0.309840986331274 0.0165912518853695 0.000361404691923881 8 0.0272987771463372
IKBKB 20 0.000398684118560268 0.302311509137117 0.105263157894737 0.000130355742583424 8 0.0145157458413662
HBA1 13 0.000152375618727212 0.287549498112165 0.0512820512820513 8.15983675122505e-05 8 0.0385371785509111
H2AX 28 0.000865731492843934 0.286559904556509 0.0423280423280423 0.000209318189858226 8 0.00602150331580935
GRB2 204 0.0107217755225059 0.354105239283284 0.0118323191345504 0.00116379577051751 7 0.160816124211142
FOS 64 0.00173346976694041 0.320807541160455 0.0133928571428571 0.000364377699264642 7 0.060413398583085
EXOSC1 22 0.00015377650692616 0.303147981845101 0.199134199134199 0.000120552756967715 8 0.029149801664869
ERBB2 62 0.00154827238909629 0.314791944955516 0.0438921205711264 0.000393199060102021 8 0.0219506426327754
EGF 3 3.2058857590577e-05 0.264221192697425 0 3.22482219235057e-05 9 0.0014432912522488
E2F1 19 0.00047466424061206 0.29093196058792 0.0409356725146199 0.0001403871556819 7 0.00631293856651144
CUL1 41 0.000631031967264194 0.294624112471399 0.0682926829268293 0.000266645124097146 8 0.0116183935609805
CTNNB1 77 0.0033314202708827 0.334180602006689 0.0242652084757348 0.000452947042049558 8 0.0661138511263946
CSNK2A1 87 0.00266325087532254 0.339309970116816 0.0283346698743651 0.000454386756154212 8 0.0902820082136485
CRYAA 104 0.00152040386246839 0.336812016287787 0.0252053771471247 0.000479696166589868 7 0.121718287231514
CHUK 15 0.000122726628383452 0.281490162493521 0.161904761904762 0.000106328851107271 8 0.00710456904404896
CDT1 8 6.31586739107079e-06 0.258994297563504 0.285714285714286 5.31189821558481e-05 8 0.00245517597896909
CDK6 16 0.000113574431987477 0.285838520688393 0.05 9.58493501796482e-05 8 0.0103284628869076
CDK4 21 0.000345046981380138 0.308052780860772 0.0523809523809524 0.000124069078462151 8 0.0270195566797735
CCND3 20 8.91651630081115e-05 0.295439492856467 0.0894736842105263 0.000106053143152006 7 0.028141308364346
CCNB1 11 4.91405951953815e-05 0.276995409283449 0.290909090909091 7.13555524129969e-05 8 0.0050966480419708
CBL 34 0.000742507286822338 0.320618133278571 0.0873440285204991 0.000204870639826944 7 0.0324907600572071
CASP9 9 5.20983607402762e-05 0.26073523578899 0.0555555555555556 6.73746089705692e-05 9 0.00283768988064907
CASP2 4 2.94619276508445e-06 0.268885492239134 0.166666666666667 3.17171259692767e-05 8 0.00761128478083879
BUB1B 16 4.6271576310063e-05 0.264098280929524 0.241666666666667 0.000108243270715861 8 0.00343899302664055
BRCA2 12 9.19831138155839e-05 0.274451207453471 0.136363636363636 8.51304516783518e-05 8 0.00315484971887401
BECN1 54 0.00143668564380139 0.334180602006689 0.0244584206848358 0.000278698006136716 8 0.0684092986662892
BAX 13 0.000187116356526915 0.291128618712414 0.128205128205128 8.48736204451877e-05 8 0.0107224033243441
AXIN1 58 0.00197802859466448 0.336830182573286 0.0465819721718088 0.000302388406425723 8 0.13632383330251
XRCC5 17 0.000244630120807865 0.288053505535055 0.132352941176471 0.000119174359917969 8 0.0110759927874266
SMAD2 18 0.000130540040788881 0.288599288322011 0.0261437908496732 0.000121390735597223 8 0.00902815726367281
SIRT1 46 0.0010308359972954 0.307038029450085 0.0328502415458937 0.000293089466507899 8 0.0200202237560065
RNF2 39 0.000426114302280031 0.303841194930304 0.16059379217274 0.000214572351942642 8 0.0226400860475392
RANGAP1 8 3.90185317083437e-05 0.298161852470757 0.357142857142857 5.24990244238893e-05 8 0.0134428262567345
RAF1 42 0.00102943371234965 0.319846350832266 0.0940766550522648 0.000261126645814348 7 0.0247982516812986
PSMC4 5 6.67312770907536e-06 0.256483972318623 0 3.68201673852584e-05 9 0.00185173085253003
PSMC2 12 3.41357069763176e-05 0.285524871982443 0.439393939393939 6.87629129369262e-05 8 0.00890542680770635
PPP1CB 49 0.00177103853368782 0.32563353842945 0.0442176870748299 0.000304266739199639 8 0.0567332112667533
PIK3CA 10 3.89193500757718e-05 0.304857212594581 0.266666666666667 6.12666141220722e-05 8 0.0186959850386931
ORAI1 5 0.000381628781751736 0.258704612771598 0.1 7.84930320346539e-05 9 0.00218815399568199
MLH1 65 0.00117591385883416 0.309296221088604 0.0115384615384615 0.0003675342485666 8 0.0623597277339777
MAP2K1 17 0.000153731951524992 0.300674049109292 0.294117647058824 0.000100700080843676 7 0.0155399468123533
LRRK2 185 0.0112492771090157 0.332676326443639 0.00558166862514689 0.00134056482443015 7 0.043911017863774
